Date,Open,High,Low,Close,Volume,Adj Close
2008-08-11,4.48,4.62,4.25,4.57,5886800,4.57
2008-08-08,4.12,4.69,4.10,4.46,9550100,4.46
2008-08-07,4.30,4.37,4.18,4.32,5237100,4.32
2008-08-06,4.21,4.33,4.04,4.30,4690600,4.30
2008-08-05,4.35,4.35,4.18,4.22,3230100,4.22
2008-08-04,4.42,4.48,4.25,4.26,2379100,4.26
2008-08-01,4.45,4.53,4.30,4.44,2403200,4.44
2008-07-31,4.48,4.55,4.35,4.44,2829500,4.44
2008-07-30,4.50,4.57,4.41,4.49,3262900,4.49
2008-07-29,4.43,4.53,4.26,4.33,6301700,4.33
2008-07-28,4.89,5.05,4.37,4.40,9845500,4.40
2008-07-25,4.84,5.40,4.72,4.95,32005500,4.95
2008-07-24,9.99,10.13,8.92,8.95,9583000,8.95
2008-07-23,9.72,10.55,9.32,9.88,4931000,9.88
2008-07-22,9.25,9.70,8.91,9.63,3881700,9.63
2008-07-21,9.06,9.34,8.82,9.28,3314100,9.28
2008-07-18,9.04,9.11,8.59,9.11,4024400,9.11
2008-07-17,8.66,8.94,8.26,8.94,5307900,8.94
2008-07-16,7.22,8.01,7.21,8.01,3362500,8.01
2008-07-15,7.18,7.48,6.76,7.20,3195700,7.20
2008-07-14,8.06,8.35,7.32,7.39,2443600,7.39
2008-07-11,7.80,7.97,7.57,7.79,2326800,7.79
2008-07-10,8.26,8.41,7.75,8.02,3192600,8.02
2008-07-09,8.19,8.67,7.95,8.11,5828700,8.11
2008-07-08,6.91,7.98,6.75,7.97,8718100,7.97
2008-07-07,7.49,7.62,6.87,6.91,5113100,6.91
2008-07-03,7.26,7.49,7.07,7.42,2033900,7.42
2008-07-02,7.58,7.85,7.19,7.22,4181200,7.22
2008-07-01,7.76,7.84,7.35,7.58,5261800,7.58
2008-06-30,8.16,8.30,7.67,8.01,6331500,8.01
2008-06-27,8.62,8.78,8.15,8.22,11577100,8.22
2008-06-26,8.27,8.72,8.22,8.70,2974400,8.70
2008-06-25,8.53,8.58,8.12,8.45,3856400,8.45
2008-06-24,8.76,8.94,8.37,8.42,4960100,8.42
2008-06-23,9.08,9.17,8.78,8.79,4911900,8.79
2008-06-20,9.29,9.33,8.95,9.17,4575800,9.17
2008-06-19,9.50,9.54,9.17,9.37,1892700,9.37
2008-06-18,9.40,9.71,9.18,9.40,4327400,9.40
2008-06-17,9.55,9.73,9.40,9.49,2285200,9.49
2008-06-16,9.22,9.75,9.20,9.44,3773100,9.44
2008-06-13,9.20,9.30,9.02,9.30,3492600,9.30
2008-06-12,9.20,9.58,9.05,9.16,3758500,9.16
2008-06-11,9.04,9.25,8.83,9.05,4263700,9.05
2008-06-10,9.01,9.18,8.90,8.99,9486400,8.99
2008-06-09,9.73,9.85,9.03,9.18,7959600,9.18
2008-06-06,9.90,9.91,9.66,9.78,4981200,9.78
2008-06-05,10.20,10.30,9.94,10.00,5358400,10.00
2008-06-04,9.87,10.40,9.82,10.08,9256400,10.08
2008-06-03,10.05,10.11,9.76,9.87,5568400,9.87
2008-06-02,10.11,10.16,9.90,10.03,3782600,10.03
2008-05-30,10.69,10.74,10.06,10.21,7433200,10.21
2008-05-29,10.72,10.87,10.63,10.71,3012500,10.71
2008-05-28,10.90,10.98,10.70,10.77,3100000,10.77
2008-05-27,11.19,11.33,10.80,10.88,3720700,10.88
2008-05-23,11.23,11.31,10.97,11.12,3161400,11.12
2008-05-22,10.80,11.38,10.68,11.34,6324200,11.34
2008-05-21,11.00,11.42,10.65,10.71,5742600,10.71
2008-05-20,10.89,11.19,10.76,10.99,4427600,10.99
2008-05-19,11.08,11.40,10.81,10.87,5285900,10.87
2008-05-16,11.05,11.07,10.81,11.01,3402500,11.01
2008-05-15,11.06,11.07,10.68,10.97,5847900,10.97
2008-05-14,11.40,11.61,11.01,11.07,5867000,11.07
2008-05-13,11.51,11.51,11.13,11.42,6699500,11.42
2008-05-12,11.20,11.47,10.95,11.27,6510100,11.27
2008-05-09,11.26,11.46,10.91,11.14,6208500,11.14
2008-05-08,12.48,12.50,11.16,11.40,33563800,11.40
2008-05-07,10.11,10.25,9.81,9.96,12264400,9.96
